"image_path","site","poly","dimensions"
"E:\Image uniq sites folders/2023_30_Map/20230601/20230601_071942_Cam8-15.JPG","site_30","poly_Cam8-15","2848 4272"
"E:\Image uniq sites folders/2023_30_Map/20230512/20230512_175401_Cam4-06.JPG","site_30","poly_Cam4-06","3456 5184"
"E:\Image uniq sites folders/2023_30_Map/20230510/20230510_123136_Cam6a-06.JPG","site_30","poly_Cam6a-06","2848 4272"
"E:\Image uniq sites folders/2023_30_Map/20230205/20230205_114852_Cam7-06.JPG","site_30","poly_Cam7-06","2848 4272"
"E:\Image uniq sites folders/2023_23_Map/20230412/20230412_170618_01.JPG","site_23","poly_01","3456 5184"
"E:\Image uniq sites folders/2023_21_Map/20230613/20230613_174612_E02.JPG","site_21","poly_E02","3456 5184"
"E:\Image uniq sites folders/2023_21_Map/20230419/20230419_131549_E01.JPG","site_21","poly_E01","2848 4272"
"E:\Image uniq sites folders/2023_21_Map/20230402/20230402_160446_W02.JPG","site_21","poly_W02","2848 4272"
"E:\Image uniq sites folders/2023_145_Map/20231002/20231002_131317_01.JPG","site_145","poly_01","3456 5184"
"E:\Image uniq sites folders/2023_145_Map/20230930/20230930_172311_05.JPG","site_145","poly_05","3456 5184"
"E:\Image uniq sites folders/2023_145_Map/20230709/20230709_183924_06.JPG","site_145","poly_06","3456 5184"
"E:\Image uniq sites folders/2023_145_Map/20230622/20230622_172809_03.JPG","site_145","poly_03","2848 4272"
"E:\Image uniq sites folders/2022_33_Map/20221030/20221030_174817_45c.JPG","site_33","poly_45c","3456 5184"
